match_number,group,date,team_a,team_b,team_a_goals,team_b_goals,status,source,updated_at,notes,advanced_team
1,A,2026-06-11,Mexico,South Africa,,,scheduled,template,,,
2,A,2026-06-12,Korea Republic,Czechia,,,scheduled,template,,,
3,B,2026-06-12,Canada,Bosnia and Herzegovina,,,scheduled,template,,,
4,D,2026-06-13,USA,Paraguay,,,scheduled,template,,,
5,C,2026-06-14,Brazil,Morocco,,,scheduled,template,,,
6,D,2026-06-14,Australia,Türkiye,,,scheduled,template,,,
7,C,2026-06-14,Haiti,Scotland,,,scheduled,template,,,
8,B,2026-06-13,Qatar,Switzerland,,,scheduled,template,,,
9,E,2026-06-14,Germany,Curaçao,,,scheduled,template,,,
10,E,2026-06-15,Côte d'Ivoire,Ecuador,,,scheduled,template,,,
11,F,2026-06-14,Netherlands,Japan,,,scheduled,template,,,
12,F,2026-06-15,Sweden,Tunisia,,,scheduled,template,,,
13,H,2026-06-15,Spain,Cabo Verde,,,scheduled,template,,,
14,H,2026-06-16,Saudi Arabia,Uruguay,,,scheduled,template,,,
15,G,2026-06-15,Belgium,Egypt,,,scheduled,template,,,
16,G,2026-06-16,IR Iran,New Zealand,,,scheduled,template,,,
17,I,2026-06-16,France,Senegal,,,scheduled,template,,,
18,I,2026-06-17,Iraq,Norway,,,scheduled,template,,,
19,J,2026-06-17,Argentina,Algeria,,,scheduled,template,,,
20,J,2026-06-17,Austria,Jordan,,,scheduled,template,,,
21,L,2026-06-17,England,Croatia,,,scheduled,template,,,
22,L,2026-06-18,Ghana,Panama,,,scheduled,template,,,
23,K,2026-06-17,Portugal,Congo DR,,,scheduled,template,,,
24,K,2026-06-18,Uzbekistan,Colombia,,,scheduled,template,,,
25,A,2026-06-19,Mexico,Korea Republic,,,scheduled,template,,,
26,B,2026-06-19,Canada,Qatar,,,scheduled,template,,,
27,B,2026-06-18,Switzerland,Bosnia and Herzegovina,,,scheduled,template,,,
28,A,2026-06-18,Czechia,South Africa,,,scheduled,template,,,
29,C,2026-06-20,Brazil,Haiti,,,scheduled,template,,,
30,C,2026-06-20,Scotland,Morocco,,,scheduled,template,,,
31,D,2026-06-19,USA,Australia,,,scheduled,template,,,
32,D,2026-06-20,Türkiye,Paraguay,,,scheduled,template,,,
33,E,2026-06-20,Germany,Côte d'Ivoire,,,scheduled,template,,,
34,E,2026-06-21,Ecuador,Curaçao,,,scheduled,template,,,
35,F,2026-06-20,Netherlands,Sweden,,,scheduled,template,,,
36,F,2026-06-21,Tunisia,Japan,,,scheduled,template,,,
37,H,2026-06-21,Spain,Saudi Arabia,,,scheduled,template,,,
38,H,2026-06-22,Uruguay,Cabo Verde,,,scheduled,template,,,
39,G,2026-06-21,Belgium,IR Iran,,,scheduled,template,,,
40,G,2026-06-22,New Zealand,Egypt,,,scheduled,template,,,
41,I,2026-06-22,France,Iraq,,,scheduled,template,,,
42,I,2026-06-23,Norway,Senegal,,,scheduled,template,,,
43,J,2026-06-22,Argentina,Austria,,,scheduled,template,,,
44,J,2026-06-23,Jordan,Algeria,,,scheduled,template,,,
45,L,2026-06-23,England,Ghana,,,scheduled,template,,,
46,L,2026-06-24,Panama,Croatia,,,scheduled,template,,,
47,K,2026-06-23,Portugal,Uzbekistan,,,scheduled,template,,,
48,K,2026-06-24,Colombia,Congo DR,,,scheduled,template,,,
49,C,2026-06-25,Scotland,Brazil,,,scheduled,template,,,
50,C,2026-06-25,Morocco,Haiti,,,scheduled,template,,,
51,B,2026-06-24,Switzerland,Canada,,,scheduled,template,,,
52,B,2026-06-24,Bosnia and Herzegovina,Qatar,,,scheduled,template,,,
53,A,2026-06-25,Czechia,Mexico,,,scheduled,template,,,
54,A,2026-06-25,South Africa,Korea Republic,,,scheduled,template,,,
55,E,2026-06-25,Ecuador,Germany,,,scheduled,template,,,
56,E,2026-06-25,Curaçao,Côte d'Ivoire,,,scheduled,template,,,
57,F,2026-06-26,Tunisia,Netherlands,,,scheduled,template,,,
58,F,2026-06-26,Japan,Sweden,,,scheduled,template,,,
59,D,2026-06-26,Türkiye,USA,,,scheduled,template,,,
60,D,2026-06-26,Paraguay,Australia,,,scheduled,template,,,
61,I,2026-06-26,Norway,France,,,scheduled,template,,,
62,I,2026-06-26,Senegal,Iraq,,,scheduled,template,,,
63,G,2026-06-27,New Zealand,Belgium,,,scheduled,template,,,
64,G,2026-06-27,Egypt,IR Iran,,,scheduled,template,,,
65,H,2026-06-27,Uruguay,Spain,,,scheduled,template,,,
66,H,2026-06-27,Cabo Verde,Saudi Arabia,,,scheduled,template,,,
67,L,2026-06-27,Panama,England,,,scheduled,template,,,
68,L,2026-06-27,Croatia,Ghana,,,scheduled,template,,,
69,J,2026-06-28,Jordan,Argentina,,,scheduled,template,,,
70,J,2026-06-28,Algeria,Austria,,,scheduled,template,,,
71,K,2026-06-28,Colombia,Portugal,,,scheduled,template,,,
72,K,2026-06-28,Congo DR,Uzbekistan,,,scheduled,template,,,
73,R32,,,,,,scheduled,template,,,
74,R32,,,,,,scheduled,template,,,
75,R32,,,,,,scheduled,template,,,
76,R32,,,,,,scheduled,template,,,
77,R32,,,,,,scheduled,template,,,
78,R32,,,,,,scheduled,template,,,
79,R32,,,,,,scheduled,template,,,
80,R32,,,,,,scheduled,template,,,
81,R32,,,,,,scheduled,template,,,
82,R32,,,,,,scheduled,template,,,
83,R32,,,,,,scheduled,template,,,
84,R32,,,,,,scheduled,template,,,
85,R32,,,,,,scheduled,template,,,
86,R32,,,,,,scheduled,template,,,
