match_number,team_a_source,team_b_source,team_a_source_type,team_b_source_type,team_a_group,team_a_position,team_b_group_options,team_b_position,source,confidence,notes,mapping_section,round,winner_to_match,loser_to_match_if_applicable,option_number,qualified_third_groups,slot_1A,slot_1B,slot_1D,slot_1E,slot_1G,slot_1I,slot_1K,slot_1L
73.0,2A,2B,runner_up,runner_up,A,2.0,B,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
74.0,1E,best 3rd from A/B/C/D/F,winner,best_third,E,1.0,A/B/C/D/F,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
75.0,1F,2C,winner,runner_up,F,1.0,C,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
76.0,1C,2F,winner,runner_up,C,1.0,F,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
77.0,1I,best 3rd from C/D/F/G/H,winner,best_third,I,1.0,C/D/F/G/H,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
78.0,2E,2I,runner_up,runner_up,E,2.0,I,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
79.0,1A,best 3rd from C/E/F/H/I,winner,best_third,A,1.0,C/E/F/H/I,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
80.0,1L,best 3rd from E/H/I/J/K,winner,best_third,L,1.0,E/H/I/J/K,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
81.0,1D,best 3rd from B/E/F/I/J,winner,best_third,D,1.0,B/E/F/I/J,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
82.0,1G,best 3rd from A/E/H/I/J,winner,best_third,G,1.0,A/E/H/I/J,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
83.0,2K,2L,runner_up,runner_up,K,2.0,L,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
84.0,1H,2J,winner,runner_up,H,1.0,J,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
85.0,1B,best 3rd from E/F/G/I/J,winner,best_third,B,1.0,E/F/G/I/J,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
86.0,1J,2H,winner,runner_up,J,1.0,H,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
87.0,1K,best 3rd from D/E/I/J/L,winner,best_third,K,1.0,D/E/I/J/L,3.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
88.0,2D,2G,runner_up,runner_up,D,2.0,G,2.0,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.,round_of_32,,,,,,,,,,,,,
89.0,W74,W77,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W89,,,,,,,,,,,
90.0,W73,W75,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W90,,,,,,,,,,,
91.0,W76,W78,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W91,,,,,,,,,,,
92.0,W79,W80,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W92,,,,,,,,,,,
93.0,W83,W84,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W93,,,,,,,,,,,
94.0,W81,W82,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W94,,,,,,,,,,,
95.0,W86,W88,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W95,,,,,,,,,,,
96.0,W85,W87,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,R16,W96,,,,,,,,,,,
97.0,W89,W90,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,QF,W97,,,,,,,,,,,
98.0,W93,W94,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,QF,W98,,,,,,,,,,,
99.0,W91,W92,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,QF,W99,,,,,,,,,,,
100.0,W95,W96,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,QF,W100,,,,,,,,,,,
101.0,W97,W98,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,SF,W101,L103,,,,,,,,,,
102.0,W99,W100,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,SF,W102,L103,,,,,,,,,,
103.0,L101,L102,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,Third-place,,,,,,,,,,,,
104.0,W101,W102,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Articles 12.7-12.11.,round_progression,Final,Winner,,,,,,,,,,,
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,1.0,"E,F,G,H,I,J,K,L",3E,3J,3I,3F,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,2.0,"D,F,G,H,I,J,K,L",3H,3G,3I,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,3.0,"D,E,G,H,I,J,K,L",3E,3J,3I,3D,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,4.0,"D,E,F,H,I,J,K,L",3E,3J,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,5.0,"D,E,F,G,I,J,K,L",3E,3G,3I,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,6.0,"D,E,F,G,H,J,K,L",3E,3G,3J,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,7.0,"D,E,F,G,H,I,K,L",3E,3G,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,8.0,"D,E,F,G,H,I,J,L",3E,3G,3J,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,9.0,"D,E,F,G,H,I,J,K",3E,3G,3J,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,10.0,"C,F,G,H,I,J,K,L",3H,3G,3I,3C,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,11.0,"C,E,G,H,I,J,K,L",3E,3J,3I,3C,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,12.0,"C,E,F,H,I,J,K,L",3E,3J,3I,3C,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,13.0,"C,E,F,G,I,J,K,L",3E,3G,3I,3C,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,14.0,"C,E,F,G,H,J,K,L",3E,3G,3J,3C,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,15.0,"C,E,F,G,H,I,K,L",3E,3G,3I,3C,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,16.0,"C,E,F,G,H,I,J,L",3E,3G,3J,3C,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,17.0,"C,E,F,G,H,I,J,K",3E,3G,3J,3C,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,18.0,"C,D,G,H,I,J,K,L",3H,3G,3I,3C,3J,3D,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,19.0,"C,D,F,H,I,J,K,L",3C,3J,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,20.0,"C,D,F,G,I,J,K,L",3C,3G,3I,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,21.0,"C,D,F,G,H,J,K,L",3C,3G,3J,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,22.0,"C,D,F,G,H,I,K,L",3C,3G,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,23.0,"C,D,F,G,H,I,J,L",3C,3G,3J,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,24.0,"C,D,F,G,H,I,J,K",3C,3G,3J,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,25.0,"C,D,E,H,I,J,K,L",3E,3J,3I,3C,3H,3D,3L,3K
