round,match_id,slot,side_of_bracket,team_source_type,team_source_group,team_source_position,best_third_condition,opponent_match_id,winner_to_match_id,loser_to_match_id,source,confidence,needs_review,notes
R32,UNKNOWN,A1,UNKNOWN,winner,A,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,B1,UNKNOWN,winner,B,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,C1,UNKNOWN,winner,C,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,D1,UNKNOWN,winner,D,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,E1,UNKNOWN,winner,E,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,F1,UNKNOWN,winner,F,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,G1,UNKNOWN,winner,G,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,H1,UNKNOWN,winner,H,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,I1,UNKNOWN,winner,I,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,J1,UNKNOWN,winner,J,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,K1,UNKNOWN,winner,K,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,L1,UNKNOWN,winner,L,1,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,A2,UNKNOWN,runner_up,A,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
