match_number,team_a_source,team_b_source,team_a_source_type,team_b_source_type,team_a_group,team_a_position,team_b_group_options,team_b_position,source,confidence,notes
73,2A,2B,runner_up,runner_up,A,2,B,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
74,1E,best 3rd from A/B/C/D/F,winner,best_third,E,1,A/B/C/D/F,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
75,1F,2C,winner,runner_up,F,1,C,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
76,1C,2F,winner,runner_up,C,1,F,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
77,1I,best 3rd from C/D/F/G/H,winner,best_third,I,1,C/D/F/G/H,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
78,2E,2I,runner_up,runner_up,E,2,I,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
79,1A,best 3rd from C/E/F/H/I,winner,best_third,A,1,C/E/F/H/I,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
80,1L,best 3rd from E/H/I/J/K,winner,best_third,L,1,E/H/I/J/K,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
81,1D,best 3rd from B/E/F/I/J,winner,best_third,D,1,B/E/F/I/J,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
82,1G,best 3rd from A/E/H/I/J,winner,best_third,G,1,A/E/H/I/J,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
83,2K,2L,runner_up,runner_up,K,2,L,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
84,1H,2J,winner,runner_up,H,1,J,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
85,1B,best 3rd from E/F/G/I/J,winner,best_third,B,1,E/F/G/I/J,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
86,1J,2H,winner,runner_up,J,1,H,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
87,1K,best 3rd from D/E/I/J/L,winner,best_third,K,1,D/E/I/J/L,3,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
88,2D,2G,runner_up,runner_up,D,2,G,2,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",official_article_12_6,Extracted from Article 12.6 fixed Round-of-32 configuration.
