match_number,group,date,team_a,team_b,status,notes
1,A,2026-06-11,Mexico,South Africa,scheduled,
2,A,2026-06-12,Korea Republic,Czechia,scheduled,
3,B,2026-06-12,Canada,Bosnia and Herzegovina,scheduled,
4,D,2026-06-13,USA,Paraguay,scheduled,
5,C,2026-06-14,Brazil,Morocco,scheduled,
6,D,2026-06-14,Australia,Türkiye,scheduled,
7,C,2026-06-14,Haiti,Scotland,scheduled,
8,B,2026-06-13,Qatar,Switzerland,scheduled,
9,E,2026-06-14,Germany,Curaçao,scheduled,
10,E,2026-06-15,Côte d'Ivoire,Ecuador,scheduled,
11,F,2026-06-14,Netherlands,Japan,scheduled,
12,F,2026-06-15,Sweden,Tunisia,scheduled,
13,H,2026-06-15,Spain,Cabo Verde,scheduled,
14,H,2026-06-16,Saudi Arabia,Uruguay,scheduled,
15,G,2026-06-15,Belgium,Egypt,scheduled,
16,G,2026-06-16,IR Iran,New Zealand,scheduled,
17,I,2026-06-16,France,Senegal,scheduled,
18,I,2026-06-17,Iraq,Norway,scheduled,
19,J,2026-06-17,Argentina,Algeria,scheduled,
20,J,2026-06-17,Austria,Jordan,scheduled,
21,L,2026-06-17,England,Croatia,scheduled,
22,L,2026-06-18,Ghana,Panama,scheduled,
23,K,2026-06-17,Portugal,Congo DR,scheduled,
24,K,2026-06-18,Uzbekistan,Colombia,scheduled,
25,A,2026-06-19,Mexico,Korea Republic,scheduled,
26,B,2026-06-19,Canada,Qatar,scheduled,
27,B,2026-06-18,Switzerland,Bosnia and Herzegovina,scheduled,
28,A,2026-06-18,Czechia,South Africa,scheduled,
29,C,2026-06-20,Brazil,Haiti,scheduled,
30,C,2026-06-20,Scotland,Morocco,scheduled,
31,D,2026-06-19,USA,Australia,scheduled,
32,D,2026-06-20,Türkiye,Paraguay,scheduled,
33,E,2026-06-20,Germany,Côte d'Ivoire,scheduled,
34,E,2026-06-21,Ecuador,Curaçao,scheduled,
35,F,2026-06-20,Netherlands,Sweden,scheduled,
36,F,2026-06-21,Tunisia,Japan,scheduled,
37,H,2026-06-21,Spain,Saudi Arabia,scheduled,
38,H,2026-06-22,Uruguay,Cabo Verde,scheduled,
39,G,2026-06-21,Belgium,IR Iran,scheduled,
40,G,2026-06-22,New Zealand,Egypt,scheduled,
41,I,2026-06-22,France,Iraq,scheduled,
42,I,2026-06-23,Norway,Senegal,scheduled,
43,J,2026-06-22,Argentina,Austria,scheduled,
44,J,2026-06-23,Jordan,Algeria,scheduled,
45,L,2026-06-23,England,Ghana,scheduled,
46,L,2026-06-24,Panama,Croatia,scheduled,
47,K,2026-06-23,Portugal,Uzbekistan,scheduled,
48,K,2026-06-24,Colombia,Congo DR,scheduled,
49,C,2026-06-25,Scotland,Brazil,scheduled,
50,C,2026-06-25,Morocco,Haiti,scheduled,
51,B,2026-06-24,Switzerland,Canada,scheduled,
52,B,2026-06-24,Bosnia and Herzegovina,Qatar,scheduled,
53,A,2026-06-25,Czechia,Mexico,scheduled,
54,A,2026-06-25,South Africa,Korea Republic,scheduled,
55,E,2026-06-25,Ecuador,Germany,scheduled,
56,E,2026-06-25,Curaçao,Côte d'Ivoire,scheduled,
57,F,2026-06-26,Tunisia,Netherlands,scheduled,
58,F,2026-06-26,Japan,Sweden,scheduled,
59,D,2026-06-26,Türkiye,USA,scheduled,
60,D,2026-06-26,Paraguay,Australia,scheduled,
61,I,2026-06-26,Norway,France,scheduled,
62,I,2026-06-26,Senegal,Iraq,scheduled,
63,G,2026-06-27,New Zealand,Belgium,scheduled,
64,G,2026-06-27,Egypt,IR Iran,scheduled,
65,H,2026-06-27,Uruguay,Spain,scheduled,
66,H,2026-06-27,Cabo Verde,Saudi Arabia,scheduled,
67,L,2026-06-27,Panama,England,scheduled,
68,L,2026-06-27,Croatia,Ghana,scheduled,
69,J,2026-06-28,Jordan,Argentina,scheduled,
70,J,2026-06-28,Algeria,Austria,scheduled,
71,K,2026-06-28,Colombia,Portugal,scheduled,
72,K,2026-06-28,Congo DR,Uzbekistan,scheduled,
