match_number,group,team_a,team_b,v3_score,v4_score,score_changed,outcome_changed,gd_changed,reason_for_change,source_provenance_caveat
1,A,Mexico,South Africa,1-0,1-0,False,False,False,no_change,
2,A,Korea Republic,Czechia,1-0,1-0,False,False,False,no_change,
3,B,Canada,Bosnia and Herzegovina,1-0,1-0,False,False,False,no_change,
4,D,USA,Paraguay,0-1,0-1,False,False,False,no_change,
5,C,Brazil,Morocco,1-0,1-0,False,False,False,no_change,
6,D,Australia,Türkiye,0-1,0-1,False,False,False,no_change,
7,C,Haiti,Scotland,0-1,0-1,False,False,False,no_change,
8,B,Qatar,Switzerland,0-2,0-2,False,False,False,no_change,
9,E,Germany,Curaçao,2-0,2-0,False,False,False,no_change,
10,E,Côte d'Ivoire,Ecuador,0-1,0-1,False,False,False,no_change,
11,F,Netherlands,Japan,1-0,1-0,False,False,False,no_change,
12,F,Sweden,Tunisia,0-1,0-1,False,False,False,no_change,
13,H,Spain,Cabo Verde,3-0,3-0,False,False,False,no_change,
14,H,Saudi Arabia,Uruguay,0-1,0-1,False,False,False,no_change,
15,G,Belgium,Egypt,2-0,1-0,True,False,True,rolling_form_update_June_3_8,
16,G,IR Iran,New Zealand,1-0,1-0,False,False,False,no_change,
17,I,France,Senegal,1-0,1-0,False,False,False,no_change,
18,I,Iraq,Norway,0-2,0-2,False,False,False,no_change,
19,J,Argentina,Algeria,2-0,2-0,False,False,False,no_change,v4 uses equal-weight rolling form; Argentina/Messi distortion documented but not down-weighted in rolling form engine
20,J,Austria,Jordan,1-0,1-0,False,False,False,no_change,
21,L,England,Croatia,2-0,2-0,False,False,False,no_change,
22,L,Ghana,Panama,0-1,0-1,False,False,False,no_change,
23,K,Portugal,Congo DR,2-0,2-0,False,False,False,no_change,
24,K,Uzbekistan,Colombia,0-1,0-1,False,False,False,no_change,
25,A,Mexico,Korea Republic,1-0,1-0,False,False,False,no_change,
26,B,Canada,Qatar,2-0,2-0,False,False,False,no_change,
27,B,Switzerland,Bosnia and Herzegovina,2-0,2-0,False,False,False,no_change,
28,A,Czechia,South Africa,1-0,1-0,False,False,False,no_change,
29,C,Brazil,Haiti,2-0,2-0,False,False,False,no_change,
30,C,Scotland,Morocco,0-1,0-1,False,False,False,no_change,
31,D,USA,Australia,0-1,0-1,False,False,False,no_change,
32,D,Türkiye,Paraguay,1-0,1-0,False,False,False,no_change,
33,E,Germany,Côte d'Ivoire,1-0,1-0,False,False,False,no_change,
34,E,Ecuador,Curaçao,2-0,2-0,False,False,False,no_change,
35,F,Netherlands,Sweden,2-0,2-0,False,False,False,no_change,
36,F,Tunisia,Japan,0-1,0-1,False,False,False,no_change,
37,H,Spain,Saudi Arabia,3-0,3-0,False,False,False,no_change,
38,H,Uruguay,Cabo Verde,1-0,1-0,False,False,False,no_change,
39,G,Belgium,IR Iran,1-0,1-0,False,False,False,no_change,
40,G,New Zealand,Egypt,0-1,0-1,False,False,False,no_change,
41,I,France,Iraq,2-0,2-0,False,False,False,no_change,
42,I,Norway,Senegal,1-0,1-0,False,False,False,no_change,
43,J,Argentina,Austria,1-0,1-0,False,False,False,no_change,v4 uses equal-weight rolling form; Argentina/Messi distortion documented but not down-weighted in rolling form engine
44,J,Jordan,Algeria,0-1,0-1,False,False,False,no_change,
45,L,England,Ghana,2-0,2-0,False,False,False,no_change,
46,L,Panama,Croatia,0-1,0-1,False,False,False,no_change,
47,K,Portugal,Uzbekistan,1-0,1-0,False,False,False,no_change,
48,K,Colombia,Congo DR,1-0,1-0,False,False,False,no_change,
49,C,Scotland,Brazil,0-1,0-1,False,False,False,no_change,
50,C,Morocco,Haiti,2-0,2-0,False,False,False,no_change,
51,B,Switzerland,Canada,1-0,1-0,False,False,False,no_change,
52,B,Bosnia and Herzegovina,Qatar,1-0,1-0,False,False,False,no_change,
53,A,Czechia,Mexico,0-1,0-1,False,False,False,no_change,
54,A,South Africa,Korea Republic,0-1,0-1,False,False,False,no_change,
55,E,Ecuador,Germany,0-1,0-1,False,False,False,no_change,
56,E,Curaçao,Côte d'Ivoire,0-1,0-1,False,False,False,no_change,
57,F,Tunisia,Netherlands,0-2,0-2,False,False,False,no_change,
58,F,Japan,Sweden,1-0,1-0,False,False,False,no_change,
59,D,Türkiye,USA,1-0,1-0,False,False,False,no_change,
60,D,Paraguay,Australia,1-0,1-0,False,False,False,no_change,
61,I,Norway,France,0-1,0-1,False,False,False,no_change,
62,I,Senegal,Iraq,1-0,1-0,False,False,False,no_change,
63,G,New Zealand,Belgium,0-2,0-2,False,False,False,no_change,
64,G,Egypt,IR Iran,1-1,1-1,False,False,False,no_change,
65,H,Uruguay,Spain,0-2,0-2,False,False,False,no_change,
66,H,Cabo Verde,Saudi Arabia,1-0,1-0,False,False,False,no_change,
67,L,Panama,England,0-2,0-1,True,False,True,rolling_form_update_June_3_8,
68,L,Croatia,Ghana,2-0,2-0,False,False,False,no_change,
69,J,Jordan,Argentina,0-2,0-2,False,False,False,no_change,v4 uses equal-weight rolling form; Argentina/Messi distortion documented but not down-weighted in rolling form engine
70,J,Algeria,Austria,0-1,0-1,False,False,False,no_change,
71,K,Colombia,Portugal,0-1,0-1,False,False,False,no_change,
72,K,Congo DR,Uzbekistan,0-1,0-1,False,False,False,no_change,
