group,team,matches_played,current_points,p_rank1,p_rank2,p_rank3,p_rank4,p_top2,p_advance,expected_points,expected_goal_difference,status
A,Mexico,0,0,0.6139,0.2511,0.1022,0.0328,0.865,0.9513,6.015,2.267,active
A,Korea Republic,0,0,0.2591,0.4132,0.2324,0.0953,0.6723,0.856,4.623,0.745,active
A,Czechia,0,0,0.0954,0.2397,0.4138,0.251,0.3351,0.6463,3.27,-0.752,active
A,South Africa,0,0,0.0316,0.096,0.2515,0.6209,0.1276,0.275,1.915,-2.26,active
B,Switzerland,0,0,0.7482,0.2084,0.0377,0.0056,0.9567,0.9909,7.112,4.262,active
B,Canada,0,0,0.2175,0.5938,0.1592,0.0295,0.8113,0.9396,5.197,1.745,active
B,Bosnia and Herzegovina,0,0,0.0301,0.1611,0.5995,0.2092,0.1912,0.5772,2.937,-1.737,active
B,Qatar,0,0,0.0043,0.0366,0.2036,0.7556,0.0408,0.1323,1.171,-4.27,active
C,Brazil,0,0,0.7076,0.2108,0.067,0.0146,0.9184,0.9781,6.549,3.248,active
C,Morocco,0,0,0.2035,0.4785,0.2405,0.0775,0.682,0.8605,4.631,0.744,active
C,Scotland,0,0,0.0752,0.243,0.4751,0.2067,0.3182,0.6558,3.284,-0.742,active
C,Haiti,0,0,0.0137,0.0677,0.2173,0.7013,0.0814,0.1945,1.556,-3.251,active
D,Türkiye,0,0,0.6062,0.2555,0.1051,0.0333,0.8617,0.9516,5.99,2.24,active
D,Paraguay,0,0,0.266,0.4124,0.2298,0.0918,0.6784,0.8551,4.629,0.754,active
D,Australia,0,0,0.0968,0.2357,0.4145,0.253,0.3325,0.6418,3.266,-0.758,active
D,USA,0,0,0.0311,0.0964,0.2506,0.622,0.1274,0.2788,1.923,-2.236,active
E,Germany,0,0,0.6532,0.2611,0.0742,0.0115,0.9143,0.9819,6.583,3.254,active
E,Ecuador,0,0,0.2784,0.4985,0.1892,0.034,0.7769,0.9377,5.198,1.748,active
E,Côte d'Ivoire,0,0,0.0615,0.2043,0.5671,0.1671,0.2658,0.6592,3.269,-0.762,active
E,Curaçao,0,0,0.0069,0.0362,0.1695,0.7875,0.043,0.1331,1.188,-4.24,active
F,Netherlands,0,0,0.7956,0.1658,0.0321,0.0065,0.9614,0.9909,7.082,4.209,active
F,Japan,0,0,0.1598,0.5541,0.2152,0.0709,0.7139,0.8646,4.648,0.766,active
F,Tunisia,0,0,0.0357,0.2041,0.494,0.2662,0.2399,0.5675,2.908,-1.75,active
F,Sweden,0,0,0.0089,0.076,0.2587,0.6563,0.0849,0.2054,1.565,-3.226,active
G,Belgium,0,0,0.7972,0.1635,0.0328,0.0066,0.9607,0.9907,7.115,4.237,active
G,IR Iran,0,0,0.159,0.5532,0.2185,0.0693,0.7122,0.8677,4.641,0.751,active
G,Egypt,0,0,0.0343,0.2062,0.499,0.2606,0.2404,0.5747,2.927,-1.736,active
G,New Zealand,0,0,0.0095,0.0772,0.2497,0.6635,0.0867,0.2026,1.543,-3.251,active
H,Spain,0,0,0.9402,0.0546,0.0043,0.0008,0.9948,0.999,8.161,7.248,advanced (clinched)
H,Uruguay,0,0,0.0476,0.6414,0.2352,0.0756,0.6891,0.8266,4.27,-0.262,active
H,Cabo Verde,0,0,0.0093,0.2263,0.5061,0.2582,0.2356,0.5272,2.774,-2.749,active
H,Saudi Arabia,0,0,0.0029,0.0776,0.2542,0.6653,0.0805,0.1669,1.393,-4.237,active
I,France,0,0,0.6558,0.2572,0.0745,0.0125,0.9131,0.9795,6.569,3.275,active
I,Norway,0,0,0.2782,0.5011,0.1855,0.0352,0.7793,0.9361,5.19,1.751,active
I,Senegal,0,0,0.0593,0.2037,0.5695,0.1674,0.2631,0.6618,3.265,-0.775,active
I,Iraq,0,0,0.0066,0.0379,0.1706,0.785,0.0445,0.1333,1.2,-4.251,active
J,Argentina,0,0,0.7968,0.1643,0.0327,0.0063,0.961,0.9911,7.106,4.243,active
J,Austria,0,0,0.1587,0.5553,0.2162,0.0698,0.714,0.8673,4.644,0.756,active
J,Algeria,0,0,0.0344,0.2064,0.4983,0.2609,0.2409,0.5742,2.92,-1.73,active
J,Jordan,0,0,0.0101,0.074,0.2528,0.6631,0.0842,0.2006,1.546,-3.269,active
K,Portugal,0,0,0.6046,0.2571,0.1056,0.0328,0.8616,0.9504,5.985,2.245,active
K,Colombia,0,0,0.2674,0.406,0.2313,0.0953,0.6734,0.854,4.628,0.745,active
K,Uzbekistan,0,0,0.0974,0.2389,0.408,0.2557,0.3363,0.6434,3.285,-0.753,active
K,Congo DR,0,0,0.0307,0.098,0.255,0.6162,0.1287,0.2793,1.92,-2.238,active
L,England,0,0,0.745,0.2107,0.0391,0.0052,0.9556,0.9909,7.093,4.226,active
L,Croatia,0,0,0.2193,0.5955,0.1537,0.0314,0.8148,0.94,5.217,1.792,active
L,Panama,0,0,0.0305,0.1588,0.597,0.2138,0.1892,0.5827,2.937,-1.744,active
L,Ghana,0,0,0.0053,0.0351,0.2101,0.7496,0.0403,0.1348,1.186,-4.274,active
