group,rank,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
A,1,Mexico,3,2,1,0,6,1,5,7
A,2,Korea Republic,3,1,1,1,3,3,0,4
A,3,South Africa,3,1,0,2,1,3,-2,3
A,4,Czechia,3,1,0,2,2,5,-3,3
B,1,Switzerland,3,2,0,1,8,3,5,6
B,2,Canada,3,1,1,1,6,4,2,4
B,3,Bosnia and Herzegovina,3,1,1,1,4,8,-4,4
B,4,Qatar,3,1,0,2,4,7,-3,3
C,1,Brazil,3,2,1,0,6,1,5,7
C,2,Morocco,3,2,1,0,6,3,3,7
C,3,Scotland,3,1,0,2,1,4,-3,3
C,4,Haiti,3,0,0,3,2,7,-5,0
D,1,USA,3,2,0,1,9,4,5,6
D,2,Türkiye,3,1,1,1,4,4,0,4
D,3,Paraguay,3,1,1,1,2,4,-2,4
D,4,Australia,3,0,2,1,1,4,-3,2
E,1,Ecuador,3,2,1,0,6,4,2,7
E,2,Germany,3,2,0,1,13,4,9,6
E,3,Côte d'Ivoire,3,1,1,1,5,7,-2,4
E,4,Curaçao,3,0,0,3,2,11,-9,0
F,1,Netherlands,3,2,1,0,4,1,3,7
F,2,Sweden,3,1,2,0,6,2,4,5
F,3,Japan,3,1,1,1,5,2,3,4
F,4,Tunisia,3,0,0,3,2,12,-10,0
G,1,Belgium,3,1,2,0,6,2,4,5
G,2,Egypt,3,1,2,0,5,3,2,5
G,3,IR Iran,3,0,3,0,3,3,0,3
G,4,New Zealand,3,0,1,2,4,10,-6,1
H,1,Spain,3,2,1,0,5,0,5,7
H,2,Cabo Verde,3,0,3,0,2,2,0,3
H,3,Uruguay,3,0,2,1,3,4,-1,2
H,4,Saudi Arabia,3,0,2,1,1,5,-4,2
I,1,France,3,3,0,0,9,2,7,9
I,2,Norway,3,2,0,1,8,5,3,6
I,3,Senegal,3,1,0,2,6,6,0,3
I,4,Iraq,3,0,0,3,1,11,-10,0
J,1,Argentina,2,2,0,0,6,2,4,6
J,2,Austria,2,1,0,1,5,4,1,3
J,3,Algeria,2,1,0,1,2,4,-2,3
J,4,Jordan,2,0,0,2,2,5,-3,0
K,1,Colombia,2,2,0,0,4,1,3,6
K,2,Portugal,2,1,1,0,6,1,5,4
K,3,Congo DR,2,0,1,1,1,2,-1,1
K,4,Uzbekistan,2,0,0,2,1,8,-7,0
L,1,England,2,1,1,0,4,2,2,4
L,2,Ghana,2,1,1,0,1,0,1,4
L,3,Croatia,2,1,0,1,3,4,-1,3
L,4,Panama,2,0,0,2,0,2,-2,0
